train/loss/total,train/acc/total,epoch,step
5.760764122009277,0.1328125,4,49
5.040886878967285,0.172991082072258,9,99
4.571045398712158,0.2025669664144516,14,149
4.221329689025879,0.2399553656578064,19,199
3.8013994693756104,0.2633928656578064,24,249
3.519254684448242,0.28515625,29,299
3.161543607711792,0.3415178656578064,34,349
2.875823974609375,0.3844866156578064,39,399
2.559260606765747,0.4453125298023224,44,449
2.2926113605499268,0.4899553656578064,49,499
2.128561496734619,0.53515625,54,549
1.8316744565963745,0.6233259439468384,59,599
1.512722134590149,0.7047991156578064,64,649
1.4715473651885986,0.6975446939468384,69,699
1.202800989151001,0.7823660969734192,74,749
1.0226722955703735,0.816964328289032,79,799
0.9000838398933411,0.8420759439468384,84,849
0.8217437863349915,0.8582589626312256,89,899
0.8282397985458374,0.8577009439468384,94,949
0.6574979424476624,0.8867188096046448,99,999
