train/loss/total,train/acc/total,epoch,step
2.4878246784210205,0.35468512773513794,8,49
2.0821175575256348,0.40861776471138,16,99
2.023923635482788,0.4124663472175598,24,149
1.9415363073349,0.4361400306224823,33,199
1.5954424142837524,0.5023441314697266,41,249
1.5174617767333984,0.5394285917282104,49,299
1.3065122365951538,0.5997177958488464,58,349
1.2495731115341187,0.6200000047683716,66,399
1.1014031171798706,0.6776368021965027,74,449
1.008312702178955,0.7078700661659241,83,499
0.9600816965103149,0.714627742767334,91,549
0.8652494549751282,0.7469061613082886,99,599
